Major,Courses,
"Central and East European Languages and Cultures BA","Required: Central and East European Studies 91 or Slavic 90.Required: (1) One three-quarter (12 to 15 units) introductory central and east European language sequence to be selected from Czech 101A, 101B, 101C, Hungarian 101A, 101B, 101C, Polish 101A, 101B, 101C, Romanian 101A, 101B, 101C, Serbian/Croatian 101A, 101B, 101C, or Ukrainian 101A, 101B, 101C; (2) one three-quarter (12 to 15 units) language sequence to be selected from Czech 102A, 102B, 102C, Hungarian 102A, 102B, 102C, Polish 102A, 102B, 102C, Romanian 102A, 102B, 102C, Serbian/Croatian 102A, 102B, 102C, or Ukrainian 102A, 102B, 102C, or any three courses from Russian 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, 103A, 103B, 103C, 130A, 140A; (3) one three-quarter (12 to 15 units) introductory language sequence of a second Slavic or central European language, or equivalent proficiency as determined through departmental testing, to be selected from Czech 101A, 101B, 101C, Hungarian 101A, 101B, 101C, Polish 101A, 101B, 101C, Romanian 101A, 101B, 101C, Serbian/Croatian 101A, 101B, 101C, or Ukrainian 101A, 101B, 101C; (4) three courses (12 units) from the following list (187 courses are 2 units each; no more than 8 units may be from the 187 series): Central and East European Studies 125, 126, Czech 155, 187A through 187M, History 120A through 120D, Hungarian 187A through 187M, Polish 152A, 152B, 152C, 187A through 187M, Romanian 152, 187A through 187M, Russian C124G, Serbian/Croatian 187A through 187M, Ukrainian 152, 187A through 187M; one of the three courses may be selected from Russian M118, 119, 120, C124C, C124D, C124N, C124T.",
"Russian Language and Literature BA","Required: Russian 6 or 20 or equivalent proficiency, one course from 25, 25W, 90A, 90B, or 90BW.Required: Ten courses (44 to 47 units), including (1) three Russian language courses selected from Russian 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108 (consult with the undergraduate adviser for appropriate placement); (2) five Russian literature and culture courses selected from 119, 120, 121, 129, 130A, 130B, 130C, 140A through 140D; and (3) two additional Russian language and/or literature courses selected from 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108, M118, 122, C124C, C124D, C124G, C124N, C124P, C124T, M127, Slavic CM114.",
"Russian Studies BA","Required: Russian 6 or 20 or equivalent proficiency, one course from 25, 25W, 90A, 90B, or 90BW.Required: Ten courses (44 to 47 units), including (1) three Russian language courses selected from Russian 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108 (consult with the undergraduate adviser for appropriate placement); (2) three additional Russian language and/or literature courses selected from 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108, M118, 119, 120, 121, 122, C124C, C124D, C124G, C124N, C124P, C124T, 129; and (3) four related fields courses selected from History M127A through 127D, Political Science 128A, 128B, 156A, Slavic CM114.",
"Sociology BA","Required: Sociology 1, 20, and one course from Political Science 6, Statistics 10, or 13.Required: Eleven upper-division courses, including (1) two theory courses — Sociology 101, 102; (2) one methods course from Sociology 106A, 106B, 110, 111, 112, 113, M124A, 191H, or Statistics 112; (3) one course from each of the following core areas: (a) interactions — Sociology 111, M124A, CM125, 126, 130, 132, 133, 134, or 152, (b) institutions and social processes — course 116, 121, 143, 151, 158, 172, 173, M174, M175, M176, or 181B, (c) power and inequality — course M115, 122, 147A, M155, 156, 157, M161, M162, M164, M165, 181A, 182, 183, 185, or 186; and (4) any five upper-division sociology elective courses.",
"Portuguese BA","Required: Portuguese 25 or 26 or 27 (27 recommended), and 46, or equivalent.Required: Ten upper-division courses (45 units minimum), including Portuguese 100A or 100B, 130A, 130B, and seven elective courses selected from 100A through 199. Two courses from outside the department that focus on Brazil, Portugal, or Lusophone Africa may be applied toward the major with approval of the undergraduate adviser. A minimum of eight of the 10 courses must be taught in Portuguese.",
"Spanish BA","Required: Spanish 25 or 27 or equivalent, and 42 and 44 or equivalent as determined by the undergraduate adviser. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Two core courses (Spanish 119 and 120), (2) eight upper-division Spanish elective courses in literature, culture, linguistics, media, service learning, or interdisciplinary studies, up to two of which may be from an outside department that deals with Spain or Spanish America and have been approved by the undergraduate adviser, and (3) one senior capstone seminar (Spanish 191C).",
"Spanish and Community and Culture BA","Required: Spanish 25 (or 27), 42, 44. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Spanish 100A or 100B, and 119 or 120; (2) four elective Spanish literature, culture, linguistics, or media studies courses selected from 130, 135, 140, 150, 155C, 160, 170, 175, 195; (3) two interdisciplinary studies courses selected from Chicana and Chicano Studies 100SL, CM106, M119, 120, M121, M122, 131, M144, 149, 181, Sociology M155; (4) two capstone community-based and experiential learning courses (8 to 10 units) selected from Chicana and Chicano Studies 100SL, Spanish M165SL, M172SL.",
"Spanish and Linguistics BA","Required: Spanish 25 or 27, M35 (or Linguistics 20), 42 or 44. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Spanish 100A, 100B, Linguistics 103, 120A, 120B, (2) one course from Linguistics 160 or 165A or 165B, and (3) four upper-division Spanish electives, two of which must be from Spanish 160.",
"Spanish and Portuguese BA","Required: Spanish 25 or 27, 42 or 44, Portuguese 25 or 26 or 27 (27 recommended), and 46.Required: (1) One course from Spanish 100A or 100B and one course from Portuguese 100A or 100B, (2) Spanish 119, 120, Portuguese 130A, 130B, (3) five 4- or 5-unit upper-division elective courses, two of which must be in Spanish and two in Portuguese. Only upper-division courses taught in the target language may be applied toward the major.",
"Spanish and Community and Culture BA","Required: Spanish 25 (or 27), 42, 44. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Spanish 100A or 100B, and 119 or 120; (2) four elective Spanish literature, culture, linguistics, or media studies courses selected from 130, 135, 140, 150, 155C, 160, 170, 175, 195; (3) two interdisciplinary studies courses selected from Chicana and Chicano Studies 100SL, CM106, M119, 120, M121, M122, 131, M144, 149, 181, Sociology M155; (4) two capstone community-based and experiential learning courses (8 to 10 units) selected from Chicana and Chicano Studies 100SL, Spanish M165SL, M172SL.",
"Spanish and Linguistics BA","Required: Spanish 25 or 27, M35 (or Linguistics 20), 42 or 44. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Spanish 100A, 100B, Linguistics 103, 120A, 120B, (2) one course from Linguistics 160 or 165A or 165B, and (3) four upper-division Spanish electives, two of which must be from Spanish 160.",
"Spanish and Portuguese BA","Required: Spanish 25 or 27, 42 or 44, Portuguese 25 or 26 or 27 (27 recommended), and 46.Required: (1) One course from Spanish 100A or 100B and one course from Portuguese 100A or 100B, (2) Spanish 119, 120, Portuguese 130A, 130B, (3) five 4- or 5-unit upper-division elective courses, two of which must be in Spanish and two in Portuguese. Only upper-division courses taught in the target language may be applied toward the major.",
"Statistics BS","Required: Mathematics 31A, 31B, 32A, 32B, 33A, Statistics 20, and one course from Statistics 10 through 13. Each course must be completed with a grade of C or better. Students who repeat any preparation course more than once are automatically denied admission to the major.Required: Statistics 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, two capstone statistical consulting courses (140SL, 141SL), and two upper-division elective courses selected from 130, C151 through 199, Mathematics 131A, 131B, 151A, 151B, 170B, 171, 172B, 175. Elective courses from outside the department are selected in consultation with the undergraduate faculty adviser.",
"Study of Religion BA","Required: Study of Religion M4 or 11, and two courses from Ancient Near East 10W, Anthropology 3, Asian M60, History 1A, 1B, 1C, 9A, 9C, 9D, 9E, M10A, 10B, 11A, 11B, Philosophy 2, 21, Study of Religion M10, M50, M60A through M60E, M60W, M61, M61W.Required: Twelve upper-division courses, including (1) Study of Religion 101, 191 (capstone seminar), (2) one theory and methods course from Anthropology 130, 142P, Study of Religion 110, 120, 150, 160, 177, 180, M186C, (3) two religious ideas, practices, and institutions in context courses from Ancient Near East 162, Anthropology 114P, 162, 168P, Arabic 120, Art History CM115A, C120, 150A, 152A, 154A, 154B, 156, Asian 151, 162, Chinese 165, C175, Classics 166A, 166B, M167, English 111A, 111B, 111C, 145, 156, Greek 130, Hebrew 120, 130, History 108A, 121B, 174A, M182C, 185B, Iranian 170, Japanese 161, Jewish Studies M150A, Korean 165, 172, Philosophy 100B, 104, 107, 155A, Study of Religion M105A, M105B, M105C, M106A, M107, M108, M109, M132, M133, M135, 140, M142C, M155, M161A through M161D, M172, M173C, M174D, M174E, M178, M182A, M182B, M184A, M185D, M186A, M186B, World Arts and Cultures C142, C151, (4) seven elective courses selected from items 2 and 3 above.",
"Asian Humanities BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one civilization course (e.g., Chinese 50, Japanese 50, 70, Korean 50) or one introduction to religions course (e.g., Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, Southeast Asian M60) within the department.Required: Three upper-division language courses in one Asian language offered by the department and eight upper-division electives within the department, including at least one course from at least four of the following areas: China, Japan, Korea, South Asia, or Southeast Asia.",
"Asian Languages and Linguistics BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one civilization course (e.g., Chinese 50, Japanese 50, 70, Korean 50, Southeast Asian 70) or one introduction to religions course (e.g., Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, Southeast Asian M60) within the department; and Linguistics 20.Required: Eleven courses as follows: (1) five upper-division language courses in one Asian language offered by the department, or three upper-division language courses in one Asian language offered by the department and two upper-division language courses in a different Asian language offered by the department, (2) Asian 100 and 104, (3) two Asian linguistics courses selected from Asian CM124, Chinese 103, C120, Japanese M120, CM122, CM123, CM127, and (4) two upper-division electives within the department or from the Linguistics Department.",
"Asian Religions BA","Required: Completion of the intermediate sequence in one Asian language offered by the department (e.g., Chinese 6, 10, Filipino 6, Hindi-Urdu 100C, Indonesian 6, Japanese 6, 10, Korean 6, 10, Thai 6, Vietnamese 6, or equivalent) and Asian 30 or one introduction to religions course from Asian M60, M60W, M61, Chinese M60, M60W, Korean M60, South Asian M60, or Southeast Asian M60.Required: Three upper-division language courses in one Asian language offered by the department; six upper-division Asian religions courses within the department, including at least one course each concerning religions in China, Japan, Korea, and either South Asia or Southeast Asia; and two electives within the department.",
